atom,25C,26H,27C,28C,29H,30C,31H,32C,33C,34H,35C,36H,37C,38H,39C,40C,41H,42C,43H,44C,45C,46H,47C,48H,sum
1C,-0.034,-0.000,0.041,0.008,0.000,-0.052,-0.000,0.164,-0.018,0.000,-0.067,-0.000,-24.570,-0.126,-2.664,9.001,0.144,0.859,0.000,-1.269,1.254,0.010,0.041,0.000,-17.278
2H,-0.005,0.000,-0.003,0.001,0.000,-0.000,-0.000,-0.007,0.002,-0.000,0.002,-0.000,-0.126,0.005,0.003,0.005,-0.001,-0.018,-0.000,0.014,-0.021,-0.000,-0.001,0.000,-0.150
3C,0.051,0.000,0.004,-0.011,-0.000,-0.002,-0.000,0.000,0.005,0.000,-0.007,-0.000,-2.664,0.003,-0.093,0.243,0.001,0.013,0.000,-0.173,0.714,0.012,0.028,-0.000,-1.874
4C,0.008,0.000,-0.103,0.003,-0.000,0.052,-0.000,-0.014,-0.004,-0.000,-0.003,-0.000,9.000,0.005,0.243,-0.165,-0.000,-0.016,-0.000,2.023,-12.178,-0.268,-1.977,0.006,-3.389
5H,0.000,0.000,-0.001,-0.001,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.144,-0.001,0.001,-0.000,0.000,-0.000,-0.000,0.039,-0.229,-0.001,-0.024,0.000,-0.073
6C,0.034,0.000,0.008,0.098,0.001,0.042,0.000,-0.011,0.010,0.000,-0.019,-0.000,0.859,-0.018,0.013,-0.016,-0.000,0.008,0.000,0.283,-4.566,-0.114,-0.856,0.006,-4.241
7H,0.000,0.000,0.000,0.001,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.024,-0.000,-0.006,0.000,-0.029
8C,0.035,0.000,0.002,0.014,0.000,0.002,0.000,0.004,-0.023,-0.000,-0.008,-0.000,-1.269,0.014,-0.173,2.023,0.039,0.283,0.000,-0.014,0.007,-0.000,0.019,0.000,0.956
9C,-0.010,-0.000,-0.008,0.001,0.000,-0.019,-0.000,-0.043,-0.030,-0.000,0.256,-0.000,1.254,-0.021,0.714,-12.178,-0.229,-4.566,-0.024,0.007,-0.049,-0.000,0.001,0.000,-14.945
10H,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,-0.000,0.006,0.000,0.010,-0.000,0.012,-0.268,-0.001,-0.114,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.359
11C,0.086,0.001,0.007,0.031,0.000,0.009,0.000,-0.008,0.100,0.001,0.008,-0.000,0.041,-0.001,0.028,-1.977,-0.024,-0.856,-0.006,0.019,0.001,-0.000,0.041,0.000,-2.500
12H,0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.001,0.000,-0.001,-0.000,0.000,0.000,-0.000,0.006,0.000,0.006,0.000,0.000,0.000,-0.000,0.000,0.000,0.013
13C,0.181,0.001,0.011,0.065,0.000,0.011,0.000,-0.013,0.020,0.000,-0.022,-0.000,-0.034,-0.005,0.051,0.008,0.000,0.034,0.000,0.035,-0.010,-0.000,0.086,0.001,0.421
14H,0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.001,0.000,0.002
15C,0.011,0.000,-0.000,0.004,0.000,-0.002,0.000,-0.000,0.010,0.000,0.002,0.000,0.041,-0.003,0.004,-0.103,-0.001,0.008,0.000,0.002,-0.008,-0.000,0.007,0.000,-0.029
16C,0.065,0.000,0.004,0.024,0.000,0.004,0.000,-0.005,0.081,0.000,-0.020,0.000,0.008,0.001,-0.011,0.003,-0.001,0.098,0.001,0.014,0.001,-0.000,0.031,0.000,0.299
17H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.001,0.000,0.000,0.000,-0.000,0.000,0.000,0.002
18C,0.011,0.000,-0.002,0.004,0.000,-0.007,0.000,0.001,0.009,0.000,-0.008,-0.000,-0.052,-0.000,-0.002,0.052,0.000,0.042,0.000,0.002,-0.019,-0.000,0.009,0.000,0.039
19H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.001
20C,-0.013,-0.000,-0.000,-0.005,-0.000,0.001,0.000,-0.002,-0.006,-0.000,-0.003,-0.000,0.164,-0.007,0.000,-0.014,0.000,-0.011,-0.000,0.004,-0.043,-0.001,-0.008,-0.000,0.058
21C,0.020,0.000,0.010,0.081,0.000,0.009,0.000,-0.006,0.008,0.000,-0.010,-0.000,-0.018,0.002,0.005,-0.004,-0.000,0.010,0.000,-0.023,-0.030,-0.001,0.100,0.001,0.155
22H,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.001,0.000,0.001
23C,-0.022,-0.000,0.002,-0.020,-0.000,-0.008,-0.000,-0.003,-0.010,-0.000,-0.006,-0.000,-0.067,0.002,-0.007,-0.003,0.000,-0.019,-0.000,-0.008,0.256,0.006,0.008,-0.001,0.099
24H,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.001
sum,0.421,0.002,-0.029,0.299,0.002,0.039,-0.001,0.058,0.155,0.001,0.099,-0.001,-17.278,-0.150,-1.874,-3.389,-0.073,-4.241,-0.029,0.956,-14.945,-0.359,-2.500,0.013,-42.823
